data,taxa compra,taxa venda,pu compra,pu venda,pu base,codigo
26/01/2016,"0,1659","0,1665","346,72","345,49","345,28",LTN010123
27/01/2016,"0,1632","0,1638","352,52","351,27","351,06",LTN010123
28/01/2016,"0,1642","0,1648","350,65","349,41","349,20",LTN010123
29/01/2016,"0,1593","0,1599","361,21","359,92","359,71",LTN010123
01/02/2016,"0,1589","0,1595","362,28","360,99","360,78",LTN010123
02/02/2016,"0,1562","0,1568","368,36","367,04","366,83",LTN010123
03/02/2016,"0,159","0,1596","362,49","361,20","360,99",LTN010123
04/02/2016,"0,1573","0,1579","366,38","365,07","364,86",LTN010123
05/02/2016,"0,1599","0,1605","360,98","359,70","359,49",LTN010123
10/02/2016,"0,1597","0,1603","361,62","360,34","360,13",LTN010123
11/02/2016,"0,1593","0,1599","362,69","361,41","361,20",LTN010123
12/02/2016,"0,1617","0,1623","357,80","356,53","356,32",LTN010123
15/02/2016,"0,1611","0,1617","359,28","358,01","357,80",LTN010123
16/02/2016,"0,1607","0,1613","360,34","359,07","358,85",LTN010123
17/02/2016,"0,1609","0,1615","360,13","358,86","358,64",LTN010123
18/02/2016,"0,1591","0,1597","364,19","362,90","362,69",LTN010123
19/02/2016,"0,1594","0,16","363,76","362,47","362,26",LTN010123
22/02/2016,"0,158","0,1586","366,99","365,69","365,48",LTN010123
23/02/2016,"0,1554","0,156","372,88","371,56","371,35",LTN010123
24/02/2016,"0,1579","0,1585","367,63","366,33","366,12",LTN010123
25/02/2016,"0,1562","0,1568","371,55","370,24","370,03",LTN010123
26/02/2016,"0,1583","0,1589","367,19","365,90","365,69",LTN010123
29/02/2016,"0,1588","0,1594","366,33","365,04","364,83",LTN010123
01/03/2016,"0,1578","0,1584","368,71","367,41","367,19",LTN010123
02/03/2016,"0,1561","0,1567","372,63","371,31","371,10",LTN010123
03/03/2016,"0,1544","0,155","376,59","375,26","375,05",LTN010123
04/03/2016,"0,1466","0,1472","394,58","393,18","392,96",LTN010123
07/03/2016,"0,1469","0,1475","394,09","392,70","392,48",LTN010123
08/03/2016,"0,1492","0,1498","388,98","387,60","387,39",LTN010123
09/03/2016,"0,1447","0,1453","399,70","398,28","398,06",LTN010123
10/03/2016,"0,1443","0,1449","400,86","399,44","399,22",LTN010123
11/03/2016,"0,1439","0,1445","402,03","400,60","400,38",LTN010123
14/03/2016,"0,1429","0,1435","404,63","403,19","402,98",LTN010123
15/03/2016,"0,146","0,1466","397,49","396,08","395,87",LTN010123
16/03/2016,"0,1499","0,1505","388,67","387,30","387,08",LTN010123
17/03/2016,"0,1438","0,1444","403,12","401,70","401,48",LTN010123
18/03/2016,"0,1414","0,142","409,10","407,65","407,44",LTN010123
21/03/2016,"0,1412","0,1418","409,80","408,35","408,14",LTN010123
22/03/2016,"0,1397","0,1403","413,67","412,21","411,99",LTN010123
23/03/2016,"0,1371","0,1377","420,32","418,82","418,61",LTN010123
24/03/2016,"0,1413","0,1419","410,21","408,75","408,54",LTN010123
28/03/2016,"0,1392","0,1398","415,55","414,07","413,86",LTN010123
29/03/2016,"0,1385","0,1391","417,49","416,01","415,79",LTN010123
30/03/2016,"0,136","0,1366","423,93","422,42","422,21",LTN010123
31/03/2016,"0,1379","0,1385","419,40","417,92","417,70",LTN010123
01/04/2016,"0,1399","0,1405","414,69","413,23","413,01",LTN010123
04/04/2016,"0,138","0,1386","419,58","418,10","417,88",LTN010123
05/04/2016,"0,1407","0,1413","413,17","411,71","411,50",LTN010123
06/04/2016,"0,1409","0,1415","412,90","411,45","411,23",LTN010123
07/04/2016,"0,1424","0,143","409,49","408,05","407,84",LTN010123
08/04/2016,"0,14","0,1406","415,52","414,06","413,85",LTN010123
11/04/2016,"0,1387","0,1393","418,93","417,45","417,24",LTN010123
12/04/2016,"0,1367","0,1373","424,11","422,61","422,40",LTN010123
13/04/2016,"0,1354","0,136","427,59","426,08","425,86",LTN010123
14/04/2016,"0,1321","0,1327","436,21","434,67","434,45",LTN010123
15/04/2016,"0,1311","0,1317","439,01","437,46","437,24",LTN010123
18/04/2016,"0,1299","0,1305","442,35","440,78","440,57",LTN010123
19/04/2016,"0,1296","0,1302","443,35","441,78","441,56",LTN010123
20/04/2016,"0,1301","0,1307","442,25","440,69","440,48",LTN010123
22/04/2016,"0,1302","0,1308","442,21","440,65","440,43",LTN010123
25/04/2016,"0,1306","0,1312","441,38","439,82","439,61",LTN010123
26/04/2016,"0,1291","0,1297","445,52","443,94","443,73",LTN010123
27/04/2016,"0,1289","0,1295","446,26","444,68","444,47",LTN010123
28/04/2016,"0,1267","0,1273","452,30","450,70","450,49",LTN010123
29/04/2016,"0,1283","0,1289","448,27","446,69","446,47",LTN010123
02/05/2016,"0,1252","0,1258","456,76","455,14","454,93",LTN010123
03/05/2016,"0,1259","0,1265","455,09","453,48","453,27",LTN010123
04/05/2016,"0,126","0,1266","455,03","453,43","453,21",LTN010123
05/05/2016,"0,1276","0,1282","450,98","449,39","449,18",LTN010123
06/05/2016,"0,1267","0,1273","453,59","451,99","451,78",LTN010123
09/05/2016,"0,1272","0,1278","452,47","450,88","450,67",LTN010123
