data,indice,taxa percent
01/01/2008,IPCA,"0,0456"
01/02/2008,IPCA,"0,0461"
01/03/2008,IPCA,"0,0473"
01/04/2008,IPCA,"0,0504"
01/05/2008,IPCA,"0,0558"
01/06/2008,IPCA,"0,0606"
01/07/2008,IPCA,"0,0637"
01/08/2008,IPCA,"0,0617"
01/09/2008,IPCA,"0,0625"
01/10/2008,IPCA,"0,0641"
01/11/2008,IPCA,"0,0639"
01/12/2008,IPCA,"0,059"
01/01/2009,IPCA,"0,0584"
01/02/2009,IPCA,"0,059"
01/03/2009,IPCA,"0,0561"
01/04/2009,IPCA,"0,0553"
01/05/2009,IPCA,"0,052"
01/06/2009,IPCA,"0,048"
01/07/2009,IPCA,"0,045"
01/08/2009,IPCA,"0,0436"
01/09/2009,IPCA,"0,0434"
01/10/2009,IPCA,"0,0417"
01/11/2009,IPCA,"0,0422"
01/12/2009,IPCA,"0,0431"
01/01/2010,IPCA,"0,0459"
01/02/2010,IPCA,"0,0483"
01/03/2010,IPCA,"0,0517"
01/04/2010,IPCA,"0,0526"
01/05/2010,IPCA,"0,0522"
01/06/2010,IPCA,"0,0484"
01/07/2010,IPCA,"0,046"
01/08/2010,IPCA,"0,0449"
01/09/2010,IPCA,"0,047"
01/10/2010,IPCA,"0,052"
01/11/2010,IPCA,"0,0563"
01/12/2010,IPCA,"0,0591"
01/01/2011,IPCA,"0,0599"
01/02/2011,IPCA,"0,0601"
01/03/2011,IPCA,"0,063"
01/04/2011,IPCA,"0,0651"
01/05/2011,IPCA,"0,0655"
01/06/2011,IPCA,"0,0671"
01/07/2011,IPCA,"0,0687"
01/08/2011,IPCA,"0,0723"
01/09/2011,IPCA,"0,0731"
01/10/2011,IPCA,"0,0697"
01/11/2011,IPCA,"0,0664"
01/12/2011,IPCA,"0,065"
01/01/2012,IPCA,"0,0622"
01/02/2012,IPCA,"0,0585"
01/03/2012,IPCA,"0,0524"
01/04/2012,IPCA,"0,051"
01/05/2012,IPCA,"0,0499"
01/06/2012,IPCA,"0,0492"
01/07/2012,IPCA,"0,052"
01/08/2012,IPCA,"0,0524"
01/09/2012,IPCA,"0,0528"
01/10/2012,IPCA,"0,0545"
01/11/2012,IPCA,"0,0553"
01/12/2012,IPCA,"0,0584"
01/01/2013,IPCA,"0,0615"
01/02/2013,IPCA,"0,0631"
01/03/2013,IPCA,"0,0659"
01/04/2013,IPCA,"0,0649"
01/05/2013,IPCA,"0,065"
01/06/2013,IPCA,"0,067"
01/07/2013,IPCA,"0,0627"
01/08/2013,IPCA,"0,0609"
01/09/2013,IPCA,"0,0586"
01/10/2013,IPCA,"0,0584"
01/11/2013,IPCA,"0,0577"
01/12/2013,IPCA,"0,0591"
01/01/2014,IPCA,"0,0559"
01/02/2014,IPCA,"0,0568"
01/03/2014,IPCA,"0,0615"
01/04/2014,IPCA,"0,0628"
01/05/2014,IPCA,"0,0637"
01/06/2014,IPCA,"0,0652"
01/07/2014,IPCA,"0,0650"
01/08/2014,IPCA,"0,0651"
01/09/2014,IPCA,"0,0675"
01/10/2014,IPCA,"0,0659"
01/11/2014,IPCA,"0,0656"
